DS,Trig_Num,Ht,YYYY-MM-DD,hh:mm:ss,Dr,Speed,Wb,Hdwy,Gap,Ax,Gp,Rh,Cl,Nm,Vehicle
1,000001bc,4,2023-11-5,13:00:12,N0,81.02,2.39,19.4,19.3,2,2,1.0,2,00000020,SV
1,000001c0,4,2023-11-5,13:00:13,N0,81.43,2.79,1.6,1.5,2,2,1.0,2,00000020,SV
1,000001c4,4,2023-11-5,13:00:15,N0,86.87,2.71,1.8,1.6,2,2,1.0,2,00000020,SV
1,000001c8,4,2023-11-5,13:00:16,N0,93.67,2.79,0.7,0.6,2,2,1.0,2,00000010,SV
1,000001cc,4,2023-11-5,13:00:43,N0,87.55,3.0,27.4,27.3,2,2,1.0,2,00000010,SV
1,000001d0,4,2023-11-5,13:01:19,N0,88.13,3.57,35.8,35.7,2,2,1.0,4,00000020,TB2
1,000001d4,4,2023-11-5,13:01:22,N0,79.92,2.66,3.2,3.1,2,2,1.0,2,00000020,SV
1,000001d8,4,2023-11-5,13:01:25,N0,76.53,3.08,2.4,2.3,2,2,1.0,2,00000020,SV
1,000001dc,4,2023-11-5,13:01:27,N0,82.34,2.94,2.2,2.1,2,2,1.0,2,00000010,SV
1,000001e0,6,2023-11-5,13:01:47,N0,83.79,9.07,20.5,20.4,3,3,1.0,3,00000010,SVT
1,000001e6,12,2023-11-5,13:01:59,N0,83.83,14.33,11.6,11.2,6,3,1.0,10,00000010,ART6
1,000001f2,4,2023-11-5,13:02:33,N0,80.2,2.97,34.2,33.6,2,2,1.0,2,00000010,SV
1,000001f6,4,2023-11-5,13:02:58,N0,85.21,2.5,24.8,24.6,2,2,1.0,2,00000010,SV
1,000001fa,6,2023-11-5,13:03:26,N0,77.7,7.45,28.2,28.1,3,2,1.0,5,00000010,TB3
1,00000200,4,2023-11-5,13:03:33,N0,76.32,5.83,7.1,6.7,2,2,1.0,4,00000020,TB2
1,00000204,14,2023-11-5,13:03:37,N0,76.25,19.72,4.0,3.8,8,4,0.86,11,00080010,BD
1,00000212,4,2023-11-5,13:03:51,N0,79.85,1.93,14.1,13.2,2,1,1.0,2,00000020,SV
1,00000216,6,2023-11-5,13:03:55,N0,84.58,7.57,3.8,3.7,3,3,1.0,3,00000020,SVT
1,0000021c,6,2023-11-5,13:03:58,N0,82.8,8.46,3.4,3.0,3,3,1.0,3,00000020,SVT
1,00000222,4,2023-11-5,13:04:01,N0,81.91,2.59,2.8,2.4,2,2,1.0,2,00000020,SV
1,00000226,4,2023-11-5,13:04:03,N0,80.27,3.11,1.4,1.3,2,2,1.0,2,00000010,SV
1,0000022a,4,2023-11-5,13:04:13,N0,80.9,2.31,10.2,10.1,2,2,1.0,2,00000020,SV
1,0000022e,4,2023-11-5,13:04:15,N0,80.03,2.55,2.4,2.3,2,2,1.0,2,00000020,SV
1,00000232,8,2023-11-5,13:04:19,N0,77.79,6.41,3.2,3.1,4,2,1.0,6,00000010,T4
1,0000023a,4,2023-11-5,13:05:05,N0,85.4,2.78,46.7,46.4,2,2,1.0,2,00000020,SV
1,0000023e,4,2023-11-5,13:05:09,N0,89.56,3.12,3.8,3.6,2,2,1.0,2,00000010,SV
1,00000242,4,2023-11-5,13:05:39,N0,83.07,2.75,30.1,30.0,2,2,1.0,2,00000010,SV
1,00000246,4,2023-11-5,13:06:10,N0,91.26,3.13,30.5,30.4,2,2,1.0,2,00000010,SV
1,0000024a,6,2023-11-5,13:06:42,N0,88.77,6.46,32.2,32.0,3,3,1.0,3,00000010,SVT
1,00000250,4,2023-11-5,13:06:48,N0,98.62,2.83,6.5,6.3,2,2,1.0,2,00000010,SV
1,00000254,4,2023-11-5,13:07:03,N0,94.3,2.97,14.8,14.7,2,2,1.0,2,00000010,SV
1,00000258,4,2023-11-5,13:07:41,N0,85.11,2.55,37.9,37.8,2,2,1.0,2,00000020,SV
1,0000025c,4,2023-11-5,13:07:43,N0,92.64,2.51,1.9,1.8,2,2,1.0,2,00000010,SV
1,00000260,4,2023-11-5,13:07:54,N0,88.8,2.56,11.2,11.1,2,2,1.0,2,00000010,SV
1,00000264,4,2023-11-5,13:08:07,N0,82.13,2.59,12.9,12.8,2,2,1.0,2,00000010,SV
1,00000268,4,2023-11-5,13:08:12,N0,87.02,3.52,4.9,4.8,2,2,1.0,4,00000010,TB
1,0000026c,4,2023-11-5,13:08:25,N0,84.61,2.33,12.7,12.6,2,2,1.0,2,00000010,SV
1,00000270,4,2023-11-5,13:09:15,N0,75.56,2.79,50.6,50.5,2,2,1.0,2,00000010,SV
1,00000274,4,2023-11-5,13:09:20,N0,88.21,2.78,5.3,5.2,2,2,1.0,2,00000010,SV
1,00000278,4,2023-11-5,13:09:35,N0,85.17,5.92,14.3,14.2,2,2,1.0,4,00000020,TB2
1,0000027c,4,2023-11-5,13:09:38,N0,74.57,2.7,2.8,2.6,2,2,1.0,2,00000020,SV
1,00000280,4,2023-11-5,13:09:40,N0,75.61,2.73,2.7,2.5,2,2,1.0,2,00000020,SV
1,00000284,4,2023-11-5,13:09:42,N0,77.51,2.7,1.6,1.5,2,2,1.0,2,00000010,SV
1,00000288,16,2023-11-5,13:11:03,N0,80.88,15.86,81.0,80.9,8,4,1.0,11,00000020,BD
1,00000298,4,2023-11-5,13:11:07,N0,79.13,2.61,4.3,3.6,2,2,1.0,2,00000020,SV
1,0000029c,4,2023-11-5,13:11:09,N0,76.56,3.01,1.6,1.4,2,2,1.0,2,00000020,SV
1,000002a0,4,2023-11-5,13:11:10,N0,71.5,2.7,1.1,1.0,2,2,1.0,2,00000020,SV
